Name,Color,Current price,Price with citilink card,Url
Смартфон DOOGEE S98 8/256Gb,черный/серый,26 990,26 130,https://www.citilink.ru/product/smartfon-doogee-s98-256gb-8gb-chernyi-seryi-3g-4g-2sim-6-3-lcd-1080x23-1778712/
Смартфон VIVO V23E 8/128Gb,лунная тень,28 090,27 590,https://www.citilink.ru/product/smartfon-vivo-v23e-128gb-8gb-lunnaya-ten-3g-4g-6-44-amoled-1080x2400-a-1681615/
Смартфон Xiaomi Poco F4 GT 8/128Gb,черный,47 990,47 590,https://www.citilink.ru/product/smartfon-xiaomi-poco-f4-gt-128gb-8gb-chernyi-3g-4g-6-67-720x1440-and12-1740218/
Смартфон Apple iPhone 13 128Gb,темная ночь,73 990,73 290,https://www.citilink.ru/product/smartfon-apple-iphone-13-a2631-128gb-128gb-temn-noch-3g-4g-6-1-ios-15-1787909/
Смартфон Apple iPhone 11 64Gb,черный,46 990,46 490,https://www.citilink.ru/product/smartfon-apple-iphone-11-a2221-64gb-chernyi-3g-4g-6-1-ios-15-802-11-a-1793602/
Смартфон INFINIX Hot 10 Lite 64Gb,черный,8990,8790,https://www.citilink.ru/product/smartfon-infinix-hot-10-lite-x657b-64gb-3gb-chernyi-3g-4g-2sim-6-6-ips-1650383/
Смартфон Xiaomi Redmi Note 11 Pro 8/128Gb,белый,31 990,31 690,https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-11-pro-128gb-8gb-belyi-3g-4g-2sim-6-67-amol-1729623/
Смартфон Apple iPhone 13 128Gb,розовый,73 990,73 290,https://www.citilink.ru/product/smartfon-apple-iphone-13-a2631-128gb-rozovyi-3g-4g-6-1-ios-15-802-11-a-1793603/
Смартфон Nokia C01 Plus DS 16Gb,фиолетовый,6240,6170,https://www.citilink.ru/product/smartfon-nokia-c01-plus-ds-16gb-1gb-fioletovyi-3g-4g-5-45-and11-802-11-1549905/
Смартфон INFINIX Smart 6 32Gb,черный,7890,7690,https://www.citilink.ru/product/smartfon-infinix-smart-6-x6511-32gb-2gb-chernyi-3g-4g-2sim-6-6-tft-720-1649477/
Смартфон Xiaomi Poco C40 3/32Gb,желтый,9990,9690,https://www.citilink.ru/product/smartfon-xiaomi-poco-c40-32gb-3gb-zheltyi-3g-4g-2sim-7-ips-720x1650-an-1823501/
Смартфон INFINIX Note 11 6/128Gb,черный,19 990,17 990,https://www.citilink.ru/product/smartfon-infinix-note-11-x663b-128gb-6gb-chernyi-3g-4g-2sim-6-7-amoled-1722684/
Смартфон Xiaomi Poco F4 GT 8/128Gb,желтый,47 990,47 590,https://www.citilink.ru/product/smartfon-xiaomi-poco-f4-gt-128gb-8gb-zheltyi-3g-4g-6-67-720x1440-and12-1740224/
Смартфон Xiaomi Redmi Note 11 Pro 8/128Gb,голубой,31 990,31 690,https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-11-pro-128gb-8gb-goluboi-3g-4g-2sim-6-67-am-1729625/
Смартфон Apple iPhone 13 128Gb,(PRODUCT)RED,73 990,73 290,https://www.citilink.ru/product/smartfon-apple-iphone-13-a2631-128gb-128-krasnyi-3g-4g-6-1-ios-15-802-1783867/
Смартфон Xiaomi Poco X4 Pro 5G 6/128Gb,синий,26 990,26 790,https://www.citilink.ru/product/smartfon-xiaomi-poco-x4-pro-5g-128gb-6gb-sinii-3g-4g-6-67-1080x2400-an-1713048/
Смартфон Xiaomi Poco C40 3/32Gb,зеленый,9990,9690,https://www.citilink.ru/product/smartfon-xiaomi-poco-c40-32gb-3gb-zelenyi-3g-4g-6-71-1080x2400-and11-4-1811837/
Смартфон ARK CoolPad 10A 3/64Gb,черный,7890,7590,https://www.citilink.ru/product/smartfon-ark-cool-10a-cool-10a-64gb-3gb-chernyi-3g-4g-6-517-and11-13mp-1727918/
Смартфон INFINIX Hot 10 Lite 64Gb,зеленый,8990,8790,https://www.citilink.ru/product/smartfon-infinix-hot-10-lite-x657b-64gb-3gb-zelenyi-3g-4g-2sim-6-6-ips-1650391/
Смартфон INFINIX Note 11 pro 8/128Gb,синий,22 990,22 490,https://www.citilink.ru/product/smartfon-infinix-note-11-pro-x697-128gb-8gb-sinii-3g-4g-2sim-6-95-lcd-1649459/
Смартфон INFINIX Note 11 pro 8/128Gb,серый,22 990,22 490,https://www.citilink.ru/product/smartfon-infinix-note-11-pro-x697-128gb-8gb-seryi-3g-4g-2sim-6-95-lcd-1649449/
Смартфон DOOGEE S86 Pro 8/128Gb,черный,20 990,20 410,https://www.citilink.ru/product/smartfon-doogee-s86-pro-128gb-8gb-chernyi-3g-4g-6-1-and10-802-11-b-g-n-1579728/
Смартфон Xiaomi Redmi Note 11 Pro 5G 8/128Gb,белый,33 990,33 690,https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-11-pro-5g-128gb-8gb-belyi-3g-4g-2sim-6-67-a-1729597/
Смартфон Nokia C30 DS 2/32 GB,зеленый,9590,9490,https://www.citilink.ru/product/smartfon-nokia-c30-ds-32gb-2gb-zelenyi-3g-4g-6-82-720x1600-and11-48mpi-1611778/
Смартфон Nokia X20 DS 8/128Gb,полночное солнце,30 490,30 180,https://www.citilink.ru/product/smartfon-nokia-x20-ds-128gb-8gb-pesochnyi-3g-4g-6-67-and11-802-11-b-g-1532857/
Смартфон Apple iPhone 11 64Gb,желтый,46 990,46 490,https://www.citilink.ru/product/smartfon-apple-iphone-11-a2221-64gb-zheltyi-3g-4g-6-1-ios-15-802-11-a-1814724/
Смартфон Apple iPhone 11 64Gb,белый,46 990,46 490,https://www.citilink.ru/product/smartfon-apple-iphone-11-a2221-64gb-belyi-3g-4g-6-1-ios-15-802-11-a-b-1809137/
Смартфон VIVO Y35 4/64Gb,черный агат,17 990,17 490,https://www.citilink.ru/product/smartfon-vivo-y35-64gb-4gb-chernyi-agat-3g-4g-6-58-1080x2408-and12-48m-1841078/
Смартфон Apple iPhone 11 64Gb,желтый,46 990,46 490,https://www.citilink.ru/product/smartfon-apple-iphone-11-a2221-64gb-zheltyi-3g-4g-6-1-ios-15-802-11-a-1809868/
Смартфон Apple iPhone 13 Pro Max 128Gb,золотой,103 490,102 490,https://www.citilink.ru/product/smartfon-apple-iphone-13-pro-max-a2643-128gb-zolotistyi-3g-4g-6-7-ios-1809864/
Смартфон Apple iPhone 11 64Gb,черный,46 990,46 490,https://www.citilink.ru/product/smartfon-apple-iphone-11-a2221-64gb-chernyi-3g-4g-6-1-ios-15-802-11-a-1809859/
Смартфон Apple iPhone 11 64Gb,(PRODUCT)RED,46 990,46 490,https://www.citilink.ru/product/smartfon-apple-iphone-11-a2221-64gb-krasnyi-3g-4g-6-1-ios-15-802-11-a-1809136/
Смартфон OUKITEL WP20 4/32Gb,черный/оранжевый,9990,9670,https://www.citilink.ru/product/smartfon-oukitel-wp20-32gb-4gb-oranzhevyi-3g-4g-6-78-2160x3840-and11-6-1838028/
Смартфон OUKITEL WP20 4/32Gb,черный,9990,9670,https://www.citilink.ru/product/smartfon-oukitel-wp20-32gb-4gb-chernyi-3g-4g-6-78-2160x3840-and11-64mp-1838020/
Смартфон BLACKVIEW Oscal S60 Pro черный,Смартфон BLACKVIEW Oscal S60 Pro черный,9890,9690,https://www.citilink.ru/product/smartfon-blackview-oscal-s60-pro-32gb-4gb-chernyi-3g-4g-2sim-6-andgo-1-1833057/
Смартфон BLACKVIEW Oscal S60 Pro оранжевый,Смартфон BLACKVIEW Oscal S60 Pro оранжевый,9890,9690,https://www.citilink.ru/product/smartfon-blackview-oscal-s60-pro-32gb-4gb-oranzhevyi-3g-4g-2sim-6-andg-1833056/
Смартфон BLACKVIEW Oscal S60 Pro зеленый,Смартфон BLACKVIEW Oscal S60 Pro зеленый,9890,9690,https://www.citilink.ru/product/smartfon-blackview-oscal-s60-pro-32gb-4gb-zelenyi-3g-4g-2sim-6-andgo-1-1833053/
Смартфон BLACKVIEW BV9900E 6/128Gb,серый,21 990,21 530,https://www.citilink.ru/product/smartfon-blackview-bv9900e-128gb-6gb-seryi-3g-4g-2sim-5-8-and10-48mpix-1833051/
Смартфон BLACKVIEW BV6600E 4/32Gb,оранжевый,10 990,10 760,https://www.citilink.ru/product/smartfon-blackview-bv6600e-32gb-4gb-oranzhevyi-3g-4g-2sim-5-7-and11-13-1833042/
Смартфон BLACKVIEW BV6600E 4/32Gb,зеленый,10 990,10 760,https://www.citilink.ru/product/smartfon-blackview-bv6600e-32gb-4gb-zelenyi-3g-4g-2sim-5-7-and11-13mpi-1833040/
Смартфон BLACKVIEW BV6600 Pro 4/32Gb,оранжевый,19 990,19 760,https://www.citilink.ru/product/smartfon-blackview-bv6600-pro-32gb-4gb-oranzhevyi-3g-4g-2sim-5-7-and11-1833036/
Смартфон BLACKVIEW BV6600 Pro 4/32Gb,зеленый,19 990,19 760,https://www.citilink.ru/product/smartfon-blackview-bv6600-pro-32gb-4gb-zelenyi-3g-4g-2sim-5-7-and11-16-1833030/
Смартфон BLACKVIEW BVA95 голубой,Смартфон BLACKVIEW BVA95 голубой,12 990,12 710,https://www.citilink.ru/product/smartfon-blackview-bva95-128gb-8gb-goluboi-3g-4g-2sim-6-5-and11-20mpix-1833025/
Смартфон BLACKVIEW BVA95 черный,Смартфон BLACKVIEW BVA95 черный,12 990,12 710,https://www.citilink.ru/product/smartfon-blackview-bva95-128gb-8gb-chernyi-3g-4g-2sim-6-5-and11-20mpix-1833019/
Смартфон Apple iPhone 13 Pro 256Gb,небесно-голубой,103 490,102 490,https://www.citilink.ru/product/smartfon-apple-iphone-13-pro-a2483-256gb-goluboi-3g-4g-6-1-ios-15-802-1809854/
Смартфон Apple iPhone 13 Pro 128Gb,альпийский зеленый,95 990,94 990,https://www.citilink.ru/product/smartfon-apple-iphone-13-pro-a2483-128gb-zelenyi-3g-4g-6-1-ios-15-802-1809134/
Смартфон Apple iPhone 13 Pro Max 128Gb,альпийский зеленый,103 490,102 490,https://www.citilink.ru/product/smartfon-apple-iphone-13-pro-max-a2643-128gb-6gb-zelenyi-3g-4g-2sim-6-1808790/
Смартфон Apple iPhone 13 Pro Max 128Gb,золотой,103 490,102 490,https://www.citilink.ru/product/smartfon-apple-iphone-13-pro-max-a2643-128gb-6gb-zolotistyi-3g-4g-2sim-1808785/
Смартфон Apple iPhone 13 Pro Max 128Gb,серебристый,103 490,102 490,https://www.citilink.ru/product/smartfon-apple-iphone-13-pro-max-a2643-128gb-6gb-serebristyi-3g-4g-2si-1808784/
Смартфон Apple iPhone 13 Pro Max 128Gb,графитовый,103 490,102 490,https://www.citilink.ru/product/smartfon-apple-iphone-13-pro-max-a2643-128gb-6gb-grafit-3g-4g-2sim-6-7-1808783/
Смартфон Apple iPhone 13 Pro 128Gb,золотой,95 990,94 990,https://www.citilink.ru/product/smartfon-apple-iphone-13-pro-a2636-128gb-zolotistyi-3g-4g-6-1-ios-15-8-1808781/
Смартфон ARK Cool N7Air 2/16Gb,черный,6590,6290,https://www.citilink.ru/product/smartfon-ark-cool-n7air-cool-n7air-2gb-16gb-chernyi-3g-6-517-and11-2mp-1727913/
Смартфон OUKITEL F150 B2021 6/64Gb,песочный,16 490,15 960,https://www.citilink.ru/product/smartfon-oukitel-f150-b2021-sahara-64gb-6gb-pesochnyi-3g-4g-2sim-5-86-1722947/
