Name,Color,Current price,Price with citilink card,Url
Ноутбук Acer Aspire 1 A114-33-P9R1,серебристый,23 990,23 890,https://www.citilink.ru/product/noutbuk-acer-aspire-1-a114-33-p9r1-pen-n6000-4gb-ssd128gb-14-ips-fhd-w-1624970/
Ноутбук Acer Aspire 3 A314-22-R7SR,черный,29 990,29 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a314-22-r7sr-ryzen-3-3250u-4gb-ssd128gb-14-fhd-w-1372374/
Ноутбук Acer Aspire 3 A315-23-R2U8,черный,29 990,29 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r2u8-ryzen-3-3250u-4gb-ssd128gb-15-6-fhd-1372483/
Ноутбук Acer Aspire 5 A515-45-R4FZ,черный,50 990,50 890,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r4fz-ryzen-5-5500u-8gb-ssd128gb-15-6-ips-1521509/
Ноутбук IRBIS NB NB69,серебристый,11 990,11 890,https://www.citilink.ru/product/noutbuk-irbis-nb-nb69-atom-z3735f-2gb-ssd32gb-13-3-ips-touch-fhd-w10-w-1499216/
Ноутбук Digma EVE 10 A201,черный,9990,9890,https://www.citilink.ru/product/noutbuk-digma-eve-10ka-windows-10-1-ips-intel-atom-x5-z8350-2gb-64gb-s-1442097/
Ноутбук Lenovo IdeaPad 1 14IGL05,серый,23 990,23 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-1-14igl05-cel-n4020-4gb-ssd128gb-14-ips-fhd-w10-1601156/
Ноутбук Acer Aspire 3 A315-23-R6JR,черный,40 990,40 790,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r6jr-ryzen-5-3500u-8gb-1tb-ssd256gb-vega-1688038/
Ноутбук ASUS Vivobook Go 15 E510MA-BQ860W,синий,25 990,25 890,https://www.citilink.ru/product/noutbuk-asus-vivobook-e510ma-bq860w-pen-n5030-4gb-ssd128gb-15-6-ips-fh-1583412/
Ноутбук ASUS Vivobook Go 14 E410MA-EK1327W,черный,21 990,21 890,https://www.citilink.ru/product/noutbuk-asus-vivobook-e410ma-ek1327w-cel-n4020-4gb-ssd128gb-14-tn-fhd-1583392/
Ноутбук Lenovo IdeaPad 3 15ADA05,серый,27 990,27 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15ada05-3020e-4gb-ssd256gb-15-6-ips-fhd-dos-g-1521606/
Ноутбук ASUS Vivobook Go 15 E510KA-BQ111T,синий,23 990,23 890,https://www.citilink.ru/product/noutbuk-asus-e510ka-bq111t-cel-n4500-4gb-ssd128gb-15-6-ips-fhd-w10-blu-1561875/
Ноутбук HP 14s-dq3002ur,черный,23 990,23 890,https://www.citilink.ru/product/noutbuk-hp-14s-dq3002ur-cel-n4500-4gb-ssd128gb-14-sva-hd-w10-black-1473921/
Ноутбук IRBIS NB NB703,белый,21 990,21 890,https://www.citilink.ru/product/noutbuk-irbis-nb-nb703-pen-j3710-4gb-emmc128gb-600-17-3-tn-hd-w10pro-b-1655880/
Ноутбук Digma EVE 11 C422,черный,13 990,13 890,https://www.citilink.ru/product/noutbuk-digma-eve-cel-j4005-4gb-ssd64gb-500-11-6-ips-hd-w10hsl64-black-1497616/
Ноутбук Lenovo IdeaPad 3 15ITL05,синий,59 990,59 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15itl05-i5-1135g7-8gb-ssd512gb-15-6-ips-fhd-w-1492062/
Ноутбук ASUS A516EA-EJ1572W,серебристый,30 990,30 890,https://www.citilink.ru/product/noutbuk-asus-a516ea-ej1572w-pg-7505-4gb-ssd128gb-15-6-tn-fhd-w11-1583752/
Ноутбук Acer Aspire 3 A315-56-513B,черный,44 990,44 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-513b-i5-1035g1-8gb-ssd128gb-15-6-tn-fhd-1678702/
Ноутбук ASUS Vivobook Pro 16X OLED N7600PC-L2014W,серебристый,127 990,127 890,https://www.citilink.ru/product/noutbuk-asus-n7600pc-0007-i5-11300h-16gb-ssd512gb-rtx-3050-4gb-16-oled-1523024/
Ноутбук Lenovo IdeaPad 3 17ADA05,серый,28 990,28 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17ada05-ath-gl-3150u-4gb-ssd128gb-17-3-tn-hd-1487559/
Ноутбук Acer Aspire 3 A315-23-R00X,черный,35 990,35 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r00x-ryzen-3-3250u-8gb-1tb-15-6-fhd-noos-1404142/
Ноутбук Acer Aspire 3 A315-23-R6QY,серебристый,35 990,35 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r6qy-ryzen-3-3250u-8gb-1tb-15-6-fhd-noos-1404143/
Ноутбук HP 17-cp0136ur,серебристый,74 990,74 890,https://www.citilink.ru/product/noutbuk-hp-17-cp0136ur-ryzen-5-5500u-16gb-ssd512gb-17-3-ips-fhd-noos-s-1744943/
Ноутбук ARK Jumper EZbook S5,серебристый,14 990,14 890,https://www.citilink.ru/product/noutbuk-ark-ezbook-s5-cel-n3350-6gb-emmc64gb-14-fhd-w10-silver-1489537/
Ноутбук ASUS A416JA-EB1185W,серый,49 990,49 890,https://www.citilink.ru/product/noutbuk-asus-a416ja-eb1185w-i5-1035g1-8gb-ssd256gb-14-ips-fhd-w11-1583736/
Ноутбук Acer Aspire 3 A314-22-R317,черный,36 990,36 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a314-22-r317-14-amd-ryzen-3-3250u-8gb-1000gb-amd-1438025/
Ноутбук Lenovo IdeaPad 3 15ADA05,серый,24 990,24 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-ip3-15ada05-athlon-3020e-4gb-ssd128gb-15-6-tn-f-1408522/
Ноутбук Acer Aspire 3 A315-23-R2ZG,черный,34 990,34 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r2zg-ryzen-3-3250u-8gb-500gb-15-6-fhd-no-1404140/
Ноутбук CHUWI Corebook X 14/8/512,серый,32 990,32 890,https://www.citilink.ru/product/noutbuk-chuwi-corebook-x-i3-10110u-8gb-ssd512gb-14-2k-w11h-1775350/
Ноутбук Lenovo IdeaPad 3 14IIL05,синий,35 990,35 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-14iil05-i3-1005g1-4gb-ssd128gb-14-ips-fhd-w10-1480079/
Ноутбук HP 15s-eq1382ur,черный,31 990,31 890,https://www.citilink.ru/product/noutbuk-hp-15s-eq1382ur-ryzen-3-3250u-4gb-ssd128gb-15-6-sva-fhd-w10-bl-1550060/
